127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/css/web2py.css, HTTP/1.1, 200, 0.003739
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001471
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/css/style.css, HTTP/1.1, 200, 0.000614
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000509
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/js/web2py.js, HTTP/1.1, 200, 0.000473
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/js/calendar.js, HTTP/1.1, 200, 0.000627
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000646
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000638
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/images/flags/af.png, HTTP/1.1, 200, 0.000614
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/images/flags/ax.png, HTTP/1.1, 200, 0.000594
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/images/flags/al.png, HTTP/1.1, 200, 0.000669
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/images/flags/dz.png, HTTP/1.1, 200, 0.000637
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/images/flags/as.png, HTTP/1.1, 200, 0.000581
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/images/flags/ad.png, HTTP/1.1, 200, 0.000697
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/images/flags/ao.png, HTTP/1.1, 200, 0.000604
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/images/flags/ai.png, HTTP/1.1, 200, 0.000633
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/images/flags/aq.png, HTTP/1.1, 200, 0.000615
127.0.0.1, 2017-04-26 21:11:02, GET, /places/static/images/flags/ag.png, HTTP/1.1, 200, 0.000629
127.0.0.1, 2017-04-26 21:11:03, GET, /places/static/images/favicon.ico, HTTP/1.1, 404, 0.000500
127.0.0.1, 2017-04-26 21:11:13, GET, /places/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000637
